customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,monthly_tenure
0023-XUOPT,Female,0,Yes,No,2,2,0,Electronic check,$94.10,"$1,215.60",Yes,13
0027-KWYKW,Female,0,Yes,Yes,2,2,0,Electronic check,$83.75,"$1,849.95",No,22
0030-FNXPP,Female,0,No,No,1,0,0,Mailed check,$19.85,$57.20,No,3
0031-PVLZI,Female,0,Yes,Yes,1,0,0,Mailed check,$20.35,$76.35,Yes,4
0032-PGELS,Female,0,Yes,Yes,0,1,0,Bank transfer (automatic),$30.50,$30.50,Yes,1
0036-IHMOT,Female,0,Yes,Yes,1,2,1,Bank transfer (automatic),$103.70,"$5,656.75",No,55
0040-HALCW,Male,0,Yes,Yes,1,0,2,Credit card (automatic),$20.40,"$1,090.60",No,53
0042-JVWOJ,Male,0,No,No,1,0,1,Bank transfer (automatic),$19.60,$471.85,No,24
0042-RLHYP,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),$19.70,"$1,396.90",No,71
0048-LUMLS,Male,0,Yes,Yes,1,2,1,Credit card (automatic),$91.20,"$3,247.55",No,36
0048-PIHNL,Female,0,Yes,No,1,0,1,Bank transfer (automatic),$20.45,$900.90,No,44
0052-DCKON,Male,0,Yes,No,2,2,1,Bank transfer (automatic),$115.80,"$7,942.15",No,69
0052-YNYOT,Female,0,No,No,1,0,1,Electronic check,$20.55,"$1,343.40",No,65
0056-EPFBG,Male,0,Yes,Yes,0,1,2,Credit card (automatic),$39.40,$825.40,No,21
0057-QBUQH,Female,0,No,Yes,2,0,2,Electronic check,$25.10,"$1,070.15",No,43
0058-EVZWM,Female,0,Yes,No,2,2,0,Bank transfer (automatic),$89.80,"$4,959.60",No,55
0060-FUALY,Female,0,Yes,No,2,2,0,Electronic check,$94.75,"$5,597.65",No,59
0064-SUDOG,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),$20.30,$224.50,No,11
0064-YIJGF,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),$75.75,"$1,929.00",No,25
0067-DKWBL,Male,1,No,No,1,1,0,Electronic check,$49.25,$91.10,Yes,2
0068-FIGTF,Female,0,No,No,1,1,1,Mailed check,$78.20,"$2,078.95",No,27
0071-NDAFP,Male,0,Yes,Yes,2,0,2,Credit card (automatic),$25.50,$630.60,No,25
0074-HDKDG,Male,0,Yes,Yes,1,1,1,Bank transfer (automatic),$61.60,"$1,611.00",No,26
0076-LVEPS,Male,0,No,Yes,0,1,0,Mailed check,$45.00,"$1,242.45",No,28
0078-XZMHT,Male,0,Yes,No,2,1,2,Bank transfer (automatic),$85.15,"$6,316.20",No,74
0080-EMYVY,Female,0,No,No,1,1,1,Credit card (automatic),$51.45,$727.85,No,14
0080-OROZO,Female,0,No,No,1,2,1,Electronic check,$99.25,"$3,532.00",No,36
0082-LDZUE,Male,0,No,No,1,1,0,Mailed check,$44.30,$44.30,No,1
0082-OQIQY,Male,0,No,No,1,2,0,Electronic check,$94.20,"$2,607.60",No,28
0083-PIVIK,Male,0,No,No,2,1,1,Electronic check,$81.25,"$5,567.55",No,69
0089-IIQKO,Female,0,Yes,Yes,2,2,0,Credit card (automatic),$99.95,"$3,767.40",No,38
0093-EXYQL,Female,1,No,No,1,2,0,Electronic check,$91.55,"$3,673.60",No,40
0093-XWZFY,Male,0,No,No,2,2,0,Credit card (automatic),$104.50,"$4,036.85",Yes,39
0094-OIFMO,Female,1,No,No,1,2,0,Electronic check,$95.00,"$1,120.30",Yes,12
0096-BXERS,Female,0,Yes,No,2,1,0,Electronic check,$50.35,$314.55,No,6
0096-FCPUF,Male,0,No,No,2,1,0,Mailed check,$64.50,"$1,888.45",No,29
0098-BOWSO,Male,0,No,No,1,0,0,Electronic check,$19.40,$529.80,No,27
0100-DUVFC,Male,1,Yes,No,2,2,1,Electronic check,$104.80,"$7,308.95",No,70
0103-CSITQ,Female,0,Yes,No,2,2,1,Bank transfer (automatic),$109.40,"$6,252.70",No,57
0104-PPXDV,Male,0,Yes,No,1,1,1,Credit card (automatic),$50.30,"$2,878.55",No,57
0106-GHRQR,Male,0,No,No,2,1,0,Bank transfer (automatic),$71.40,"$1,212.10",No,17
0106-UGRDO,Female,0,Yes,No,2,2,2,Electronic check,$116.00,"$8,182.85",No,71
0107-WESLM,Male,0,No,No,1,0,0,Electronic check,$19.85,$19.85,Yes,1
0107-YHINA,Male,0,No,Yes,2,2,0,Electronic check,$99.75,$99.75,Yes,1
0111-KLBQG,Male,1,Yes,Yes,1,2,0,Mailed check,$93.95,"$2,861.45",No,30
0112-QAWRZ,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),$90.80,"$1,442.20",No,16
0112-QWPNC,Male,0,Yes,No,2,1,1,Electronic check,$84.35,"$4,059.35",Yes,48
0114-IGABW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),$58.25,"$4,145.90",No,71
0114-PEGZZ,Female,0,No,No,2,2,0,Electronic check,$107.55,"$3,645.50",No,34
0114-RSRRW,Female,0,Yes,No,1,0,0,Bank transfer (automatic),$19.95,$187.75,No,9
0115-TFERT,Male,0,Yes,No,2,2,0,Electronic check,$111.20,"$2,317.10",Yes,21
0117-LFRMW,Male,0,Yes,Yes,0,1,0,Bank transfer (automatic),$40.20,"$1,448.80",Yes,36
0118-JPNOY,Female,1,No,No,1,2,0,Credit card (automatic),$85.80,"$2,193.65",No,26
0121-SNYRK,Male,0,No,No,0,1,1,Mailed check,$35.40,"$1,748.90",No,49
0122-OAHPZ,Female,0,No,No,2,2,0,Electronic check,$73.85,$511.25,Yes,7
0123-CRBRT,Female,0,Yes,Yes,2,1,2,Mailed check,$88.10,"$5,526.75",No,63
0125-LZQXK,Male,0,No,No,1,2,0,Electronic check,$101.35,"$1,553.95",Yes,15
0128-MKWSG,Female,0,No,Yes,0,1,0,Mailed check,$45.80,"$1,147.00",No,25
0129-KPTWJ,Male,0,Yes,No,1,2,0,Electronic check,$94.65,"$6,747.35",No,71
0129-QMPDR,Male,0,Yes,Yes,1,0,1,Bank transfer (automatic),$20.50,$865.05,No,42
0130-SXOUN,Male,0,No,No,2,2,0,Credit card (automatic),$89.40,"$5,976.90",No,67
0133-BMFZO,Female,0,No,No,1,2,0,Electronic check,$86.25,$181.65,Yes,2
0134-XWXCE,Female,1,No,No,1,1,1,Bank transfer (automatic),$74.85,"$3,268.05",No,44
0135-NMXAP,Female,0,No,No,2,2,0,Bank transfer (automatic),$89.75,"$1,052.40",Yes,12
0136-IFMYD,Male,1,Yes,No,2,2,2,Electronic check,$109.95,"$7,634.25",No,69
0137-OCGAB,Female,0,No,No,2,2,0,Mailed check,$80.20,$80.20,Yes,1
0137-UDEUO,Female,0,No,No,1,0,0,Mailed check,$19.85,$63.75,Yes,3
0139-IVFJG,Female,0,Yes,No,1,2,0,Electronic check,$90.35,$190.50,No,2
0141-YEAYS,Female,1,No,No,2,2,0,Bank transfer (automatic),$86.45,"$2,401.05",No,28
0142-GVYSN,Male,0,No,No,1,0,0,Electronic check,$20.30,$511.25,No,25
0147-ESWWR,Female,1,Yes,No,2,2,0,Electronic check,$101.25,"$3,949.15",No,39
0148-DCDOS,Male,0,No,No,2,2,0,Bank transfer (automatic),$94.70,"$2,362.10",Yes,25
0151-ONTOV,Female,0,No,No,1,2,0,Mailed check,$70.90,$70.90,Yes,1
0156-FVPTA,Male,0,Yes,No,1,1,0,Electronic check,$54.20,"$1,152.70",Yes,21
0164-APGRB,Female,0,No,No,2,2,2,Electronic check,$114.90,"$8,496.70",No,74
0164-XAIRP,Female,0,No,No,1,0,2,Bank transfer (automatic),$19.55,$470.20,No,24
0168-XZKBB,Female,0,Yes,No,2,2,0,Electronic check,$86.85,"$1,564.40",No,18
0174-QRVVY,Male,0,Yes,Yes,2,0,2,Credit card (automatic),$25.35,"$1,847.55",No,73
0177-PXBAT,Male,1,Yes,No,2,2,0,Bank transfer (automatic),$109.90,"$3,694.70",No,34
0178-CIIKR,Female,0,No,No,1,0,0,Mailed check,$19.95,$58.00,No,3
0178-SZBHO,Male,0,Yes,Yes,2,2,0,Electronic check,$87.20,"$4,017.45",No,46
0181-RITDD,Male,0,Yes,Yes,1,2,2,Mailed check,$108.15,"$6,825.65",No,63
0186-CAERR,Male,0,No,No,2,2,1,Bank transfer (automatic),$116.30,"$8,309.55",No,71
0187-QSXOE,Male,1,Yes,No,1,2,0,Electronic check,$89.00,$605.45,No,7
0187-WZNAB,Female,0,Yes,Yes,1,2,0,Mailed check,$74.40,"$1,972.35",No,27
0188-GWFLE,Male,0,No,No,1,0,0,Mailed check,$20.05,$33.70,No,2
0191-EQUUH,Female,0,No,Yes,0,1,2,Bank transfer (automatic),$35.05,$844.45,No,24
0191-ZHSKZ,Male,1,No,No,1,1,0,Electronic check,$74.75,"$2,111.30",No,28
0193-ESZXP,Female,1,Yes,No,1,2,1,Credit card (automatic),$105.50,"$6,205.50",Yes,59
0195-IESCP,Male,0,Yes,No,2,2,0,Electronic check,$85.25,$855.30,Yes,10
0196-JTUQI,Female,0,No,No,2,2,0,Credit card (automatic),$75.20,$633.85,No,8
0196-VULGZ,Female,1,Yes,No,2,2,0,Electronic check,$84.35,$474.90,Yes,6
0197-PNKNK,Female,0,Yes,Yes,2,2,1,Bank transfer (automatic),$84.45,"$5,848.60",No,69
0201-MIBOL,Female,1,No,No,2,2,2,Bank transfer (automatic),$102.40,"$6,471.85",No,63
0201-OAMXR,Female,0,No,No,2,2,1,Credit card (automatic),$115.55,"$8,127.60",Yes,70
0203-HHYIJ,Male,0,No,No,2,0,1,Bank transfer (automatic),$25.30,$676.35,Yes,27
0206-OYVOC,Female,0,Yes,Yes,1,0,2,Mailed check,$19.25,$864.20,No,45
0206-TBWLC,Female,0,Yes,No,2,2,1,Mailed check,$114.65,"$6,049.50",No,53
0207-MDKNV,Female,0,No,No,1,2,0,Electronic check,$105.10,"$1,582.75",Yes,15
0208-BPQEJ,Female,0,Yes,Yes,1,0,0,Bank transfer (automatic),$19.40,$198.10,No,10
0212-ISBBF,Female,0,No,No,0,1,0,Electronic check,$50.35,"$1,098.85",No,22
0214-JHPFW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),$57.80,"$4,039.30",No,70
0215-BQKGS,Male,0,No,No,1,2,0,Credit card (automatic),$84.30,"$2,438.60",No,29
0218-QNVAS,Male,0,Yes,Yes,2,2,1,Bank transfer (automatic),$100.55,"$7,113.75",No,71
0219-QAERP,Male,0,Yes,No,1,0,1,Credit card (automatic),$19.80,$576.65,No,29
0219-YTZUE,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),$84.80,$371.90,Yes,4
0220-EBGCE,Male,0,No,No,1,2,0,Electronic check,$85.85,$167.30,Yes,2
0221-NAUXK,Male,0,No,Yes,1,0,1,Bank transfer (automatic),$19.95,$219.50,No,11
0221-WMXNQ,Male,1,No,No,1,2,0,Electronic check,$75.35,$273.40,No,4
0222-CNVPT,Male,1,No,No,0,1,0,Credit card (automatic),$48.80,"$2,555.05",No,52
0224-HJAPT,Male,0,No,No,2,1,0,Electronic check,$47.15,$223.15,Yes,5
0224-NIJLP,Male,0,Yes,Yes,1,0,2,Mailed check,$20.15,$165.50,No,8
0224-RLWWD,Female,1,No,No,1,1,0,Electronic check,$44.30,$89.30,No,2
0225-ZORZP,Male,0,No,No,1,2,0,Electronic check,$84.30,$235.05,No,3
0228-MAUWC,Male,0,No,No,2,1,0,Electronic check,$59.55,"$1,144.60",No,19
0229-LFJAF,Male,0,No,No,2,1,2,Bank transfer (automatic),$69.65,"$4,908.25",No,70
0230-UBYPQ,Male,1,Yes,No,0,1,1,Bank transfer (automatic),$36.10,"$2,298.90",No,64
0230-WEQUW,Male,0,Yes,No,0,1,2,Bank transfer (automatic),$56.60,"$3,789.20",No,67
0231-LXVAP,Male,0,No,No,1,2,0,Electronic check,$75.90,$75.90,Yes,1
0233-FTHAV,Female,0,No,No,2,2,1,Bank transfer (automatic),$79.20,"$4,765.00",No,60
0234-TEVTT,Female,0,Yes,Yes,0,1,1,Credit card (automatic),$45.00,"$2,196.30",No,49
0235-KGSLC,Female,0,No,No,1,2,0,Credit card (automatic),$85.55,$85.55,Yes,1
0236-HFWSV,Male,0,No,No,2,2,0,Electronic check,$93.35,"$1,444.65",Yes,15
0237-YFUTL,Female,0,Yes,No,2,2,0,Bank transfer (automatic),$109.65,"$5,405.80",No,49
0238-WHBIQ,Male,0,Yes,Yes,2,1,2,Credit card (automatic),$89.70,"$6,339.30",No,71
0239-OXEXL,Female,0,No,No,2,2,0,Mailed check,$84.25,"$3,847.60",No,46
0244-LGNFY,Female,0,Yes,Yes,2,1,2,Bank transfer (automatic),$92.65,"$6,733.00",No,73
0247-SLUJI,Male,0,Yes,Yes,1,0,0,Mailed check,$19.70,$19.70,No,1
0248-IPDFW,Female,0,No,No,2,1,0,Electronic check,$50.10,$50.10,No,1
0248-PGHBZ,Female,1,No,No,1,2,2,Bank transfer (automatic),$92.45,"$6,140.85",No,66
0253-ZTEOB,Female,0,Yes,Yes,2,1,2,Electronic check,$79.65,"$3,870.30",No,49
0254-FNMCI,Female,0,No,No,1,2,2,Electronic check,$109.90,"$7,624.20",No,69
0254-KCJGT,Male,0,Yes,No,2,1,1,Credit card (automatic),$81.40,"$4,354.45",No,53
0254-WWRKD,Female,0,Yes,Yes,1,1,1,Credit card (automatic),$50.55,"$3,431.75",No,68
0256-LTHVJ,Female,0,Yes,Yes,1,2,0,Electronic check,$81.05,"$2,227.10",Yes,27
0257-KXZGU,Female,0,Yes,Yes,2,1,0,Bank transfer (automatic),$62.45,"$2,045.55",No,33
0257-ZESQC,Female,1,Yes,No,1,2,0,Bank transfer (automatic),$75.20,"$1,929.35",Yes,26
0258-NOKBL,Male,0,No,No,1,2,0,Electronic check,$90.40,$268.45,No,3
0259-GBZSH,Male,0,No,No,2,2,0,Electronic check,$85.65,$181.50,Yes,2
0260-ZDLGK,Female,0,No,Yes,1,1,0,Mailed check,$72.90,$651.40,Yes,9
0263-FJTQO,Male,0,Yes,Yes,2,1,2,Credit card (automatic),$70.50,"$3,486.65",No,49
0264-CNITK,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),$20.10,"$1,389.60",No,69
0265-EDXBD,Male,1,Yes,No,2,2,0,Electronic check,$74.90,"$2,303.35",Yes,31
0265-PSUAE,Female,0,Yes,Yes,1,2,0,Bank transfer (automatic),$100.70,"$1,522.70",No,15
0266-CLZKZ,Female,0,Yes,Yes,2,2,2,Bank transfer (automatic),$105.65,"$6,717.90",No,64
0266-GMEAO,Male,0,Yes,Yes,2,2,2,Credit card (automatic),$114.30,"$8,058.55",No,71
0268-QKIWO,Female,0,No,No,1,0,0,Electronic check,$19.75,$58.85,Yes,3
0269-XFESX,Male,0,Yes,Yes,2,0,1,Mailed check,$24.35,$538.50,No,22
0270-THENM,Male,0,Yes,Yes,2,1,2,Bank transfer (automatic),$69.85,"$5,102.35",No,73
0274-JKUJR,Male,0,Yes,Yes,0,1,0,Mailed check,$58.85,$465.70,No,8
0277-BKSQP,Male,0,Yes,Yes,1,1,0,Electronic check,$54.40,$475.10,No,9
0277-ORXQS,Male,0,Yes,Yes,0,1,2,Bank transfer (automatic),$50.55,"$3,364.55",No,67
0278-YXOOG,Male,0,No,No,1,0,0,Mailed check,$21.05,$113.85,Yes,5
0280-XJGEX,Male,0,No,No,2,2,0,Bank transfer (automatic),$103.70,"$5,036.30",Yes,49
0281-CNTZX,Male,0,Yes,No,1,0,2,Bank transfer (automatic),$19.95,"$1,234.80",No,62
0282-NVSJS,Female,1,Yes,Yes,0,1,0,Mailed check,$29.30,$355.90,No,12
0285-INHLN,Male,0,Yes,Yes,1,1,0,Credit card (automatic),$54.75,"$1,510.30",No,28
0289-IVARM,Female,0,No,No,1,1,0,Electronic check,$60.55,"$1,982.60",No,33
0292-WEGCH,Female,0,Yes,Yes,2,1,0,Electronic check,$86.20,"$4,524.05",No,52
0295-PPHDO,Male,0,No,No,2,2,0,Electronic check,$95.45,$95.45,Yes,1
0295-QVKPB,Male,0,No,No,1,1,0,Credit card (automatic),$63.95,$318.10,No,5
0297-RBCSG,Male,0,No,No,1,1,1,Bank transfer (automatic),$65.35,"$1,231.85",No,19
0298-XACET,Male,0,Yes,Yes,0,1,2,Mailed check,$50.20,"$2,554.00",No,51
0301-FIDRB,Female,0,Yes,Yes,0,1,2,Bank transfer (automatic),$63.80,"$4,684.30",No,73
0301-KOBTQ,Male,0,No,No,1,0,2,Bank transfer (automatic),$20.05,$614.45,No,31
0302-JOIVN,Female,0,Yes,No,1,2,0,Electronic check,$101.15,$842.90,Yes,8
0303-UNCIP,Male,0,No,No,2,1,1,Mailed check,$65.00,"$2,531.80",No,39
0303-WMMRN,Male,0,No,No,1,0,0,Mailed check,$19.25,$86.05,No,4
0305-SQECB,Female,0,No,Yes,0,1,1,Mailed check,$36.05,$402.60,No,11
0306-JAELE,Male,0,No,No,1,2,0,Electronic check,$96.10,$453.40,Yes,5
0307-BCOPK,Female,0,No,No,1,0,1,Mailed check,$19.05,$326.65,No,17
0308-GIQJT,Male,1,No,No,2,2,1,Bank transfer (automatic),$105.75,"$7,382.85",No,70
0308-IVGOK,Female,0,No,No,0,1,1,Credit card (automatic),$40.40,$422.60,No,10
0310-MVLET,Female,0,Yes,Yes,2,2,0,Electronic check,$99.15,"$6,010.05",Yes,61
0310-SUCIN,Female,0,Yes,No,1,1,1,Bank transfer (automatic),$84.80,"$6,046.10",No,71
0310-VQXAM,Male,0,No,No,1,0,0,Mailed check,$19.85,$178.80,No,9
0311-QYWSS,Female,0,No,No,1,1,0,Electronic check,$49.45,$314.60,No,6
0311-UNPFF,Female,0,No,No,1,2,0,Bank transfer (automatic),$88.80,"$2,274.35",Yes,26
0314-TKOSI,Female,0,No,No,1,1,0,Mailed check,$55.15,$322.90,No,6
0315-LVCRK,Male,0,No,No,1,2,0,Electronic check,$84.80,$888.75,No,10
0318-QUUOB,Male,0,Yes,No,1,2,0,Electronic check,$80.55,$80.55,Yes,1
0318-ZOPWS,Female,0,Yes,No,1,0,2,Bank transfer (automatic),$20.15,$973.35,No,48
0319-QZTCO,Female,0,Yes,Yes,1,1,0,Credit card (automatic),$58.70,$168.60,No,3
0320-DWVTU,Female,0,No,No,1,2,2,Mailed check,$99.50,"$5,424.25",No,55
0320-JDNQG,Male,0,Yes,Yes,1,2,0,Electronic check,$99.85,"$2,331.30",Yes,23
0322-CHQRU,Male,0,No,No,1,1,0,Electronic check,$45.35,$89.50,Yes,2
0322-YINQP,Male,0,No,No,1,1,0,Mailed check,$48.55,$48.55,Yes,1
0323-XWWTN,Male,0,No,Yes,2,0,2,Mailed check,$26.40,$121.25,No,5
0324-BRPCJ,Female,1,Yes,No,2,2,0,Electronic check,$100.20,"$6,851.65",Yes,68
0325-XBFAC,Male,0,No,No,1,2,0,Electronic check,$94.70,$740.30,Yes,8
0326-VDYXE,Female,0,Yes,No,2,2,1,Electronic check,$97.65,"$6,982.50",No,72
0327-WFZSY,Male,0,Yes,Yes,2,2,1,Electronic check,$100.00,"$3,835.55",No,38
0328-GRPMV,Female,0,No,No,1,2,0,Electronic check,$70.10,$70.10,Yes,1
0329-GTIAJ,Female,0,No,No,1,2,0,Electronic check,$97.90,$315.30,Yes,3
0330-BGYZE,Male,0,Yes,No,2,2,1,Bank transfer (automatic),$102.50,"$6,157.60",No,60
0330-IVZHA,Female,0,Yes,No,1,2,0,Electronic check,$69.95,$330.15,Yes,5
0334-GDDSO,Male,1,No,No,2,2,0,Electronic check,$81.35,$233.70,Yes,3
0334-ZFJSR,Female,0,Yes,No,2,1,1,Credit card (automatic),$66.05,"$3,462.10",No,52
0336-KXKFK,Male,0,No,No,0,1,2,Credit card (automatic),$61.20,"$4,390.25",No,72
0336-PIKEI,Male,1,Yes,No,1,1,2,Bank transfer (automatic),$74.40,"$5,360.75",No,72
0337-CNPZE,Female,0,No,No,2,2,0,Electronic check,$106.30,"$4,443.45",Yes,42
0343-QLUZP,Male,0,No,No,0,1,2,Bank transfer (automatic),$39.60,"$2,424.50",No,61
0345-HKJVM,Female,0,No,No,1,2,0,Electronic check,$89.30,$577.60,Yes,6
0345-XMMUG,Female,0,Yes,No,2,2,2,Credit card (automatic),$108.90,"$4,854.30",No,45
0347-UBKUZ,Female,0,No,No,1,0,0,Mailed check,$19.90,$320.45,No,16
0348-SDKOL,Female,0,Yes,No,2,2,0,Credit card (automatic),$102.10,"$5,885.40",Yes,58
0354-VXMJC,Male,0,Yes,Yes,1,0,2,Credit card (automatic),$19.60,$426.65,No,22
0354-WYROK,Female,1,Yes,Yes,1,2,0,Electronic check,$98.90,"$2,911.30",Yes,29
0356-ERHVT,Male,0,Yes,No,1,1,0,Bank transfer (automatic),$45.90,$521.90,No,11
0356-OBMAC,Female,1,No,No,2,2,2,Bank transfer (automatic),$99.90,"$5,706.30",No,57
0357-NVCRI,Female,0,No,Yes,1,0,0,Credit card (automatic),$20.05,$471.70,No,24
0361-HJRDX,Female,0,No,No,0,1,2,Credit card (automatic),$64.35,"$4,539.60",No,71
0362-RAOQO,Female,0,No,No,1,0,2,Credit card (automatic),$19.65,$830.25,No,42
0362-ZBZWJ,Male,0,No,No,2,2,0,Electronic check,$84.90,"$3,067.20",Yes,36
0363-QJVFX,Male,0,No,No,2,2,0,Credit card (automatic),$108.15,"$3,432.90",Yes,32
0363-SVHYR,Male,0,Yes,Yes,2,1,2,Bank transfer (automatic),$86.85,"$6,263.80",No,72
0365-BZUWY,Male,0,Yes,No,2,2,0,Electronic check,$102.55,"$1,742.50",No,17
0365-GXEZS,Male,0,Yes,No,1,2,0,Electronic check,$78.20,"$1,468.75",No,19
0365-TRTPY,Female,0,No,No,2,2,0,Bank transfer (automatic),$91.20,"$3,382.30",No,37
0366-NQSHS,Male,0,No,No,1,0,0,Mailed check,$19.35,$46.35,No,2
0369-ZGOVK,Female,0,Yes,Yes,1,2,1,Bank transfer (automatic),$70.40,"$1,992.20",No,28
0373-AIVNJ,Male,0,No,No,0,1,1,Mailed check,$39.55,$373.00,No,9
0374-AACSZ,Female,0,No,No,1,1,0,Electronic check,$50.15,$50.15,No,1
0374-FIUCA,Male,0,Yes,No,1,0,2,Credit card (automatic),$20.40,"$1,414.45",No,69
0374-IOEGQ,Female,0,No,No,1,1,0,Electronic check,$44.60,$122.70,No,3
0375-HVGXO,Female,0,No,No,0,1,0,Electronic check,$34.70,$34.70,Yes,1
0376-OIWME,Male,0,Yes,No,1,2,0,Electronic check,$93.60,"$3,366.05",No,36
0376-YMCJC,Male,0,No,No,2,2,0,Electronic check,$90.60,"$1,943.20",Yes,21
0377-JBKKT,Male,0,Yes,Yes,1,1,0,Mailed check,$57.95,"$1,271.80",No,22
0378-CJKPV,Female,0,Yes,No,2,2,2,Credit card (automatic),$112.10,"$7,965.95",No,71
0378-NHQXU,Female,0,Yes,Yes,2,2,0,Electronic check,$88.25,"$1,460.65",Yes,17
0378-TOVMS,Female,0,No,No,1,2,0,Electronic check,$85.80,$272.20,Yes,3
0378-XSZPU,Male,0,Yes,No,1,1,1,Credit card (automatic),$60.30,"$3,563.80",Yes,59
0379-DJQHR,Male,0,Yes,Yes,1,1,2,Credit card (automatic),$81.35,"$5,398.60",No,66
0380-NEAVX,Male,1,No,No,1,2,1,Electronic check,$99.85,"$3,343.15",No,33
0380-ZCSBI,Male,0,No,No,1,0,0,Credit card (automatic),$20.00,$198.70,No,10
0383-CLDDA,Female,0,No,No,2,1,2,Credit card (automatic),$85.35,"$5,897.40",No,69
0384-LPITE,Male,0,No,No,0,1,1,Credit card (automatic),$62.05,"$2,511.55",No,40
0384-RVBPI,Male,0,No,No,1,1,0,Credit card (automatic),$64.40,"$1,398.60",No,22
0386-CWRGM,Female,0,Yes,Yes,1,0,2,Mailed check,$19.40,$967.85,No,50
0388-EOPEX,Female,0,Yes,No,1,2,0,Electronic check,$74.40,$139.40,Yes,2
0390-DCFDQ,Female,1,Yes,No,1,2,0,Mailed check,$70.45,$70.45,Yes,1
0392-BZIUW,Female,0,Yes,No,2,2,2,Credit card (automatic),$105.00,"$7,589.80",No,72
0394-YONDK,Male,0,Yes,Yes,2,0,2,Credit card (automatic),$25.15,"$1,790.15",No,71
0396-HUJBP,Female,0,No,No,1,0,0,Mailed check,$19.30,$44.40,No,2
0396-UKGAI,Male,0,No,Yes,1,1,0,Bank transfer (automatic),$55.30,"$1,284.20",No,23
0396-YCHWO,Male,0,Yes,No,2,2,0,Electronic check,$95.40,"$3,474.20",No,36
0397-GZBBC,Male,1,Yes,No,2,2,0,Bank transfer (automatic),$93.85,"$5,574.75",Yes,59
0397-ZXWQF,Male,0,No,No,1,0,2,Bank transfer (automatic),$20.50,"$1,430.95",No,70
0401-WDBXM,Male,0,Yes,Yes,2,2,2,Bank transfer (automatic),$105.55,"$7,542.25",No,71
0402-CQAJN,Female,0,No,No,2,2,0,Bank transfer (automatic),$101.90,"$3,545.35",Yes,35
0402-OAMEN,Female,0,Yes,Yes,2,0,2,Bank transfer (automatic),$24.45,"$1,709.10",No,70
0404-AHASP,Male,0,Yes,No,1,0,2,Credit card (automatic),$19.70,"$1,421.90",No,72
0404-SWRVG,Male,0,No,No,2,2,0,Electronic check,$74.40,$229.55,Yes,3
0406-BPDVR,Female,1,Yes,No,2,2,1,Credit card (automatic),$101.50,"$5,373.10",Yes,53
0407-BDJKB,Male,0,Yes,No,2,2,0,Electronic check,$95.75,"$5,742.90",Yes,60
